word,label,di_word_pos,root_word,root_word_pos,following_word,following_word_pos
di depan,1,IN,depan,ADV,depan,ADV
di garap,0,IN,garap,ADV,garap,ADV
di garap,0,IN,garap,ADV,garap,ADV
di garap,0,IN,garap,ADV,garap,ADV
di garap,0,IN,garap,ADV,garap,ADV
di garap,0,IN,garap,ADV,garap,ADV
digarap,1,VB,garap,ADV,garap,ADV
digarap,1,VB,garap,ADV,garap,ADV
digarap,1,VB,garap,ADV,garap,ADV
digarap,1,VB,garap,ADV,garap,ADV
digarap,1,VB,garap,ADV,garap,ADV
di hampiri,0,IN,hampir,ADV,hampiri,VB
dihampiri,1,VB,hampir,ADV,hampiri,VB
di haruskan,0,IN,harus,ADV,haruskan,VB
di haruskan,0,IN,harus,ADV,haruskan,VB
di haruskan,0,IN,harus,ADV,haruskan,VB
di haruskan,0,IN,harus,ADV,haruskan,VB
di haruskan,0,IN,harus,ADV,haruskan,VB
di haruskan,0,IN,harus,ADV,haruskan,VB
diharuskan,1,VB,harus,ADV,haruskan,VB
diharuskan,1,VB,harus,ADV,haruskan,VB
diharuskan,1,VB,harus,ADV,haruskan,VB
diharuskan,1,VB,harus,ADV,haruskan,VB
diharuskan,1,VB,harus,ADV,haruskan,VB
diharuskan,1,VB,harus,ADV,haruskan,VB
di inginkan,0,IN,ingin,ADV,inginkan,VB
di inginkan,0,IN,ingin,ADV,inginkan,VB
di inginkan,0,IN,ingin,ADV,inginkan,VB
di inginkan,0,IN,ingin,ADV,inginkan,VB
diinginkan,1,VB,ingin,ADV,inginkan,VB
diinginkan,1,VB,ingin,ADV,inginkan,VB
diinginkan,1,VB,ingin,ADV,inginkan,VB
diinginkan,1,VB,ingin,ADV,inginkan,VB
dijaringan,0,VB,jaring,ADV,jaringan,NN
di jaringan,1,IN,jaring,ADV,jaringan,NN
dikemudian,0,VB,kemudian,ADV,kemudian,ADV
di kemudian,1,IN,kemudian,ADV,kemudian,ADV
dikemudian hari,0,VP,kemudian hari,ADV,kemudian hari,ADV
dikemudian hari,0,VP,kemudian hari,ADV,kemudian hari,ADV
dikemudian hari,0,VP,kemudian hari,ADV,kemudian hari,ADV
di kemudian hari,1,IN,kemudian hari,ADV,kemudian hari,ADV
di kemudian hari,1,IN,kemudian hari,ADV,kemudian hari,ADV
di kemudian hari,1,IN,kemudian hari,ADV,kemudian hari,ADV
di kurangi,0,IN,kurang,ADV,kurangi,VB
di kurangi,0,IN,kurang,ADV,kurangi,VB
di kurangi,0,IN,kurang,ADV,kurangi,VB
di kurangi,0,IN,kurang,ADV,kurangi,VB
dikurangi,1,VB,kurang,ADV,kurangi,VB
dikurangi,1,VB,kurang,ADV,kurangi,VB
dikurangi,1,VB,kurang,ADV,kurangi,VB
dikurangi,1,VB,kurang,ADV,kurangi,VB
di lalui,0,IN,lalu,ADV,lalui,VB
di lalui,0,IN,lalu,ADV,lalui,VB
di lalui,0,IN,lalu,ADV,lalui,VB
di lalui,0,IN,lalu,ADV,lalui,VB
dilalui,1,VB,lalu,ADV,lalui,VB
dilalui,1,VB,lalu,ADV,lalui,VB
dilalui,1,VB,lalu,ADV,lalui,VB
dilalui,1,VB,lalu,ADV,lalui,VB
di latih,0,IN,latih,ADV,latih,ADV
dilatihan,0,VB,latih,ADV,latihan,NN
di latihan,1,IN,latih,ADV,latihan,NN
dilatih,1,VB,latih,ADV,latih,ADV
di mungkinkan,0,IN,mungkin,ADV,mungkinkan,VB
dimungkinkan,1,VB,mungkin,ADV,mungkinkan,VB
di pastikan,0,IN,pasti,ADV,pastikan,VB
di pastikan,0,IN,pasti,ADV,pastikan,VB
di pastikan,0,IN,pasti,ADV,pastikan,VB
di pastikan,0,IN,pasti,ADV,pastikan,VB
di pastikan,0,IN,pasti,ADV,pastikan,VB
di pastikan,0,IN,pasti,ADV,pastikan,VB
dipastikan,1,VB,pasti,ADV,pastikan,VB
dipastikan,1,VB,pasti,ADV,pastikan,VB
dipastikan,1,VB,pasti,ADV,pastikan,VB
dipastikan,1,VB,pasti,ADV,pastikan,VB
dipastikan,1,VB,pasti,ADV,pastikan,VB
dipastikan,1,VB,pasti,ADV,pastikan,VB
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
di perlukan,0,IN,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
diperlukan,1,VB,perlu,ADV,perlukan,NN
di sandingkan,0,IN,sanding,ADV,sandingkan,VB
disandingkan,1,VB,sanding,ADV,sandingkan,VB
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
disekitar,0,VB,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sekitar,1,IN,sekitar,ADV,sekitar,ADV
di sengaja,0,IN,sengaja,ADV,sengaja,ADV
disengaja,1,VB,sengaja,ADV,sengaja,ADV
di serang,0,IN,serang,ADV,serang,ADV
di serang,0,IN,serang,ADV,serang,ADV
di serang,0,IN,serang,ADV,serang,ADV
diserang,1,VB,serang,ADV,serang,ADV
diserang,1,VB,serang,ADV,serang,ADV
diserang,1,VB,serang,ADV,serang,ADV
di suruh,0,IN,suruh,ADV,suruh,ADV
di suruh,0,IN,suruh,ADV,suruh,ADV
di suruh,0,IN,suruh,ADV,suruh,ADV
disuruh,1,VB,suruh,ADV,suruh,ADV
disuruh,1,VB,suruh,ADV,suruh,ADV
disuruh,1,VB,suruh,ADV,suruh,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
ditengah,0,VB,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tengah,1,IN,tengah,ADV,tengah,ADV
di tentukan,0,IN,tentu,ADV,tentukan,VB
di tentukan,0,IN,tentu,ADV,tentukan,VB
di tentukan,0,IN,tentu,ADV,tentukan,VB
di tentukan,0,IN,tentu,ADV,tentukan,VB
ditentukan,1,VB,tentu,ADV,tentukan,VB
ditentukan,1,VB,tentu,ADV,tentukan,VB
ditentukan,1,VB,tentu,ADV,tentukan,VB
ditentukan,1,VB,tentu,ADV,tentukan,VB
di teruskan,0,IN,terus,ADV,teruskan,VB
di teruskan,0,IN,terus,ADV,teruskan,VB
di teruskan,0,IN,terus,ADV,teruskan,VB
diteruskan,1,VB,terus,ADV,teruskan,VB
diteruskan,1,VB,terus,ADV,teruskan,VB
diteruskan,1,VB,terus,ADV,teruskan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
di tetapkan,0,IN,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
ditetapkan,1,VB,tetap,ADV,tetapkan,VB
di sertai,0,IN,serta,CC,sertai,VB
di sertai,0,IN,serta,CC,sertai,VB
di sertai,0,IN,serta,CC,sertai,VB
di sertai,0,IN,serta,CC,sertai,VB
di sertai,0,IN,serta,CC,sertai,VB
di sertai,0,IN,serta,CC,sertai,VB
disertai,1,VB,serta,CC,sertai,VB
disertai,1,VB,serta,CC,sertai,VB
disertai,1,VB,serta,CC,sertai,VB
disertai,1,VB,serta,CC,sertai,VB
disertai,1,VB,serta,CC,sertai,VB
disertai,1,VB,serta,CC,sertai,VB
di perbanyak,0,IN,banyak,DT,perbanyak,NN
diperbanyak,1,VB,banyak,DT,perbanyak,NN
dibeberapa,0,VB,beberapa,DT,beberapa,DT
dibeberapa,0,VB,beberapa,DT,beberapa,DT
dibeberapa,0,VB,beberapa,DT,beberapa,DT
dibeberapa,0,VB,beberapa,DT,beberapa,DT
dibeberapa,0,VB,beberapa,DT,beberapa,DT
dibeberapa,0,VB,beberapa,DT,beberapa,DT
dibeberapa,0,VB,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
di beberapa,1,IN,beberapa,DT,beberapa,DT
disegala,0,VB,segala,DT,segala,DT
di segala,1,IN,segala,DT,segala,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
diseluruh,0,VB,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
di seluruh,1,IN,seluruh,DT,seluruh,DT
dichannel,0,VB,channel,FW,channel,FW
dichannel,0,VB,channel,FW,channel,FW
dichannel,0,VB,channel,FW,channel,FW
di channel,1,IN,channel,FW,channel,FW
di channel,1,IN,channel,FW,channel,FW
di channel,1,IN,channel,FW,channel,FW
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
di dampingi,0,IN,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didampingi,1,VB,damping,FW,dampingi,VB
didatabase,0,VB,database,FW,database,FW
di database,1,IN,database,FW,database,FW
di giring,0,IN,giring,FW,giring,FW
digiring,1,VB,giring,FW,giring,FW
di iringi,0,IN,iring,FW,iringi,VB
diiringi,1,VB,iring,FW,iringi,VB
diLombok Tengah,0,VP,lombok tengah,FW,Lombok Tengah,NP
di Lombok Tengah,1,IN,lombok tengah,FW,Lombok Tengah,NP
dilumbung padi,0,VP,lumbung padi,FW,lumbung padi,FW
di lumbung padi,1,IN,lumbung padi,FW,lumbung padi,FW
di posting,0,IN,posting,FW,posting,FW
di posting,0,IN,posting,FW,posting,FW
diposting,0,VB,posting,FW,posting,FW
diposting,0,VB,posting,FW,posting,FW
di-posting,1,VB,posting,FW,posting,FW
di-posting,1,VB,posting,FW,posting,FW
di-reshuffle,1,VB,reshuffle,FW,reshuffle,FW
direshuffle,0,VB,reshuffle,FW,reshuffle,FW
di reshuffle,0,IN,reshuffle,FW,reshuffle,FW
di resuhuffle,0,IN,resuhuffle,FW,resuhuffle,FW
diresuhuffle,0,VB,resuhuffle,FW,resuhuffle,FW
di-resuhuffle,1,VB,resuhuffle,FW,resuhuffle,FW
disuspend,0,VB,suspend,FW,suspend,FW
di suspend,0,IN,suspend,FW,suspend,FW
di-suspend,1,VB,suspend,FW,suspend,FW
di posting,0,IN,posting,FW,posting,FW
di posting,0,IN,posting,FW,posting,FW
diposting,0,VB,posting,FW,posting,FW
diposting,0,VB,posting,FW,posting,FW
di-posting,1,VB,posting,FW,posting,FW
di-posting,1,VB,posting,FW,posting,FW
di-reshuffle,1,VB,reshuffle,FW,reshuffle,FW
direshuffle,0,VB,reshuffle,FW,reshuffle,FW
di reshuffle,0,IN,reshuffle,FW,reshuffle,FW
di resuhuffle,0,IN,resuhuffle,FW,resuhuffle,FW
diresuhuffle,0,VB,resuhuffle,FW,resuhuffle,FW
di-resuhuffle,1,VB,resuhuffle,FW,resuhuffle,FW
disuspend,0,VB,suspend,FW,suspend,FW
di suspend,0,IN,suspend,FW,suspend,FW
di-suspend,1,VB,suspend,FW,suspend,FW
diSwiss,0,VB,swiss,FW,Swiss,NNP
di Swiss,1,IN,swiss,FW,Swiss,NNP
diThailand,0,NNP,thailand,FW,Thailand,NNP
diThailand,0,NNP,thailand,FW,Thailand,NNP
diThailand,0,NNP,thailand,FW,Thailand,NNP
di Thailand,1,IN,thailand,FW,Thailand,NNP
di Thailand,1,IN,thailand,FW,Thailand,NNP
di Thailand,1,IN,thailand,FW,Thailand,NNP
diwebsite,0,VB,website,FW,website,FW
diwebsite,0,VB,website,FW,website,FW
diwebsite,0,VB,website,FW,website,FW
diwebsite,0,VB,website,FW,website,FW
di website,1,IN,website,FW,website,FW
di website,1,IN,website,FW,website,FW
di website,1,IN,website,FW,website,FW
di website,1,IN,website,FW,website,FW
diYouTube,0,NNP,youtube,FW,YouTube,NNP
diYouTube,0,NNP,youtube,FW,YouTube,NNP
diYouTube,0,NNP,youtube,FW,YouTube,NNP
diYouTube,0,NNP,youtube,FW,YouTube,NNP
di YouTube,1,IN,youtube,FW,YouTube,NNP
di YouTube,1,IN,youtube,FW,YouTube,NNP
di YouTube,1,IN,youtube,FW,YouTube,NNP
di YouTube,1,IN,youtube,FW,YouTube,NNP
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
diantara,0,VB,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
di antara,1,IN,antara,IN,antara,IN
diantaranya,0,VB,antara,IN,antaranya,NN
diantaranya,0,VB,antara,IN,antaranya,NN
diantaranya,0,VB,antara,IN,antaranya,NN
diantaranya,0,VB,antara,IN,antaranya,NN
diantaranya,0,VB,antara,IN,antaranya,NN
di antaranya,1,IN,antara,IN,antaranya,NN
di antaranya,1,IN,antara,IN,antaranya,NN
di antaranya,1,IN,antara,IN,antaranya,NN
di antaranya,1,IN,antara,IN,antaranya,NN
di antaranya,1,IN,antara,IN,antaranya,NN
di atasi,0,IN,atas,IN,atasi,VB
di atasi,0,IN,atas,IN,atasi,VB
di atasi,0,IN,atas,IN,atasi,VB
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
diatas,0,VB,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
di atas,1,IN,atas,IN,atas,IN
diatasi,1,VB,atas,IN,atasi,VB
diatasi,1,VB,atas,IN,atasi,VB
diatasi,1,VB,atas,IN,atasi,VB
di bagikan,0,IN,bagi,IN,bagikan,VB
di bagikan,0,IN,bagi,IN,bagikan,VB
dibagian,0,VB,bagi,IN,bagian,NN
dibagian,0,VB,bagi,IN,bagian,NN
dibagian,0,VB,bagi,IN,bagian,NN
dibagian,0,VB,bagi,IN,bagian,NN
dibagian,0,VB,bagi,IN,bagian,NN
dibagian,0,VB,bagi,IN,bagian,NN
dibagian,0,VB,bagi,IN,bagian,NN
disebagian,0,VB,bagi,IN,sebagian,DT
di bagian,1,IN,bagi,IN,bagian,NN
di bagian,1,IN,bagi,IN,bagian,NN
di bagian,1,IN,bagi,IN,bagian,NN
di bagian,1,IN,bagi,IN,bagian,NN
di bagian,1,IN,bagi,IN,bagian,NN
di bagian,1,IN,bagi,IN,bagian,NN
di bagian,1,IN,bagi,IN,bagian,NN
